y x
54.016667 6.595
54.016667 6.609167
54.016667 6.623333
54.016667 6.6375
54.016667 6.651667
54.008333 6.595
54.008333 6.609167
54.008333 6.623333
54.008333 6.6375
54.008333 6.651667
54 6.595
54 6.609167
54 6.623333
54 6.6375
54 6.651667
53.991667 6.595
53.991667 6.609167
53.991667 6.623333
53.991667 6.6375
53.991667 6.651667
53.983333 6.595
53.983333 6.609167
53.983333 6.623333
53.983333 6.6375
53.983333 6.651667
